id;referent_id;naam;rsin;kvk;klant_nummer;datum_uitschrijving_kvk
1;infrastructures;Drive;transmitting utilize;Proactive;Towels;Liaison
2;Small withdrawal;Sausages overriding Grocery;FTP compress parsing;back up;proactive;Buckinghamshire
3;neural;project;compelling Shirt;panel;Tasty Granite Shirt Handmade;fuchsia Berkshire Metal
4;COM Refined Concrete Computer circuit;card client-server Factors;payment JBOD;Steel;program Wooden vertical;XSS Saudi Arabia content
5;Health North Dakota program;Planner Central synthesize;Cotton transparent;Oval wireless;B2B Algeria maroon;multi-byte Computers magenta
6;driver Gorgeous Cotton Tuna;tertiary Tanzanian Shilling;Arizona CSS Home Loan Account;Automotive;solutions;program Extended
7;Applications intranet maroon;Forward Somoni;Savings Account;Parkways withdrawal;Pizza Berkshire bypassing;methodologies bypassing index
8;Senior;Central Islands Mouse;reboot reboot;Music multi-byte Team-oriented;Ecuador Mongolia;Savings Account Belize Dollar Industrial
9;Personal Loan Account context-sensitive;monitor;Gateway;interfaces;Tanzanian Shilling;framework holistic
10;port;calculating leverage;backing up Tools;Outdoors Money Market Account;panel;Buckinghamshire Engineer interfaces
